Sequencing run	Lab code	Sample type	Library name	Sample category	Stall ID	Read pairs after trimming	Total reads before trimming	Average Read Length	Library strategy	Library source
SRR23971560	HXJMHL-1-2	not_market	Env_0768	non_market_sewage		190855441	332987813	200	RNA-Seq	METAGENOMIC
SRR23971561	JXRJ-1-1	not_market	Env_0770	non_market_sewage		42781167	398203568	200	RNA-Seq	METAGENOMIC
SRR23971562	CSSQ-1-1	not_market	Env_0788	non_market_sewage		94262081	207395132	200	RNA-Seq	METAGENOMIC
SRR23971563	CSSQ-1-2	not_market	Env_0789	non_market_sewage		63369273	347504011	200	RNA-Seq	METAGENOMIC
SRR23971564	YCHC2-1-2	not_market	Env_0798	non_market_sewage		10735444	434026847	200	RNA-Seq	METAGENOMIC
SRR23971565	YCHC2-1-3	not_market	Env_0799	non_market_sewage		12140194	331316195	200	RNA-Seq	METAGENOMIC
SRR23971566	HXJC4-1-1	not_market	Env_0800	non_market_sewage		95892317	283997285	200	RNA-Seq	METAGENOMIC
SRR23971515	SJ-D	other_metagenome	Env_0862	warehouse	Warehouse|8|25	76913724	77125159	200	RNA-Seq	METAGENOMIC
SRR23971516	SJ-L3	other_metagenome	Env_0865	warehouse	Warehouse|8|25	69020846	69066122	200	RNA-Seq	METAGENOMIC
SRR23971517	RLC-3	other_metagenome	Env_0868	warehouse	Warehouse|8|25	61231976	61428688	200	RNA-Seq	METAGENOMIC
SRR23971432	1-27-12	market_metagenome	Env_0643	market_west_drain	West|1|2	79773199	1019242197	200	RNA-Seq	METAGENOMIC
SRR23971499	w-zong-1	sewage_metagenome	Env_0829	market_west_drain	West|1|NA	422771378	433163214	50	RNA-Seq	METAGENOMIC
SRR23971501	wws-1#-0	sewage_metagenome	Env_0830	market_sewage_west	West|1|NA	166551319	166712925	200	RNA-Seq	METAGENOMIC
SRR23971592	wws-1#-0	sewage_metagenome	Env_0830	single_end_duplicate	West|1|NA	125673628	174771713	50	RNA-Seq	METAGENOMIC
SRR23971440	E-10-29-2	market_metagenome	Env_0856	market_west_late	West|10|29	92089136	92676734	200	RNA-Seq	METAGENOMIC
SRR23971428	10-31-In2	market_metagenome	Env_0617	market_west_late	West|10|31	15419504	352064248	200	RNA-Seq	METAGENOMIC
SRR23971429	10-31-abv2	market_metagenome	Env_0619	market_west_late	West|10|31	7293329	680416198	200	RNA-Seq	METAGENOMIC
SRR23971585	1-27-37	market_metagenome	Env_0664	market_west_drain	West|10|4	6084103	15809060	200	RNA-Seq	METAGENOMIC
SRR23971473	F13	sars2_amplicon	Env_0313	market_west_Jan1	West|11|15	2493362	2611482	259	WGS	VIRAL RNA
SRR23971580	F13	market_metagenome	Env_0313	market_west_Jan1	West|11|15	13638711	97030601	200	RNA-Seq	METAGENOMIC
SRR23971591	F13	sars2_amplicon	Env_0313	market_west_Jan1	West|11|15	1643872	1671082	282	WGS	VIRAL RNA
SRR23971574	D32	market_metagenome	Env_0213	market_west_Jan1	West|15|15	53994921	98697418	200	RNA-Seq	METAGENOMIC
SRR23971434	1-27-52	market_metagenome	Env_0674	market_west_drain	West|15|22	19010745	350594448	200	RNA-Seq	METAGENOMIC
SRR23971572	B17	market_metagenome	Env_0138	market_west_Jan1	West|15|44	103826944	106561887	200	RNA-Seq	METAGENOMIC
SRR23971416	F54	sars2_amplicon	Env_0354	market_west_Jan1	West|2|14	1955793	1991973	149	WGS	VIRAL RNA
SRR23971582	F54	market_metagenome	Env_0354	market_west_Jan1	West|2|14	67764715	81933090	200	RNA-Seq	METAGENOMIC
SRR23971581	F46	market_metagenome	Env_0346	market_west_Jan1	West|2|24	179304826	185800744	200	RNA-Seq	METAGENOMIC
SRR23971578	E7	market_metagenome	Env_0221	market_west_Jan1	West|2|5	108774391	118618283	200	RNA-Seq	METAGENOMIC
SRR23971431	1-27-11	market_metagenome	Env_0642	market_west_drain	West|3|13	19897200	264283923	200	RNA-Seq	METAGENOMIC
SRR23971593	1-27-11	market_metagenome	Env_0642	single_end_duplicate	West|3|13	17506835	293232572	50	RNA-Seq	METAGENOMIC
SRR23971502	A101	market_metagenome	Env_0101	market_west_Jan1	West|4|19	63774980	76107309	200	RNA-Seq	METAGENOMIC
SRR23971571	A96	market_metagenome	Env_0096	market_west_Jan1	West|4|24	177277042	186587110	200	RNA-Seq	METAGENOMIC
SRR23971503	A14	market_metagenome	Env_0014	market_west_Jan1	West|4|26	106393221	112376679	200	RNA-Seq	METAGENOMIC
SRR23971504	A15	market_metagenome	Env_0015	market_west_Jan1	West|4|26	6297564	62739972	200	RNA-Seq	METAGENOMIC
SRR23971570	A90	market_metagenome	Env_0090	market_west_Jan1	West|4|26	127674572	132235686	200	RNA-Seq	METAGENOMIC
SRR23971567	A87	market_metagenome	Env_0087	market_west_Jan1	West|4|28	76669572	117331188	200	RNA-Seq	METAGENOMIC
SRR23971569	A88	market_metagenome	Env_0088	market_west_Jan1	West|4|28	97550212	99451559	200	RNA-Seq	METAGENOMIC
SRR23971579	F100	market_metagenome	Env_0400	market_west_Jan1	West|4|X4-X6	128438255	130022604	200	RNA-Seq	METAGENOMIC
SRR23971583	F98	market_metagenome	Env_0398	market_west_Jan1	West|4|X4-X6	193469594	200564637	200	RNA-Seq	METAGENOMIC
SRR23971484	B5	sars2_amplicon	Env_0126	market_west_Jan1	West|5|6-8	2168383	2209862	149	WGS	VIRAL RNA
SRR23971573	B5	market_metagenome	Env_0126	market_west_Jan1	West|5|6-8	110712113	114732235	200	RNA-Seq	METAGENOMIC
SRR23971437	C9_2	other_metagenome	Env_0839	market_west_late	West|5|NA	160659350	161136918	200	RNA-Seq	METAGENOMIC
SRR23971438	C12_2	other_metagenome	Env_0842	market_west_late	West|5|NA	85871022	86334015	200	RNA-Seq	METAGENOMIC
SRR23971559	Outside-5	other_metagenome	Env_0759	market_west_drain	West|5|NA	104056501	337758145	200	RNA-Seq	METAGENOMIC
SRR23971430	06-29-abv1	market_metagenome	Env_0620	market_629_late	West|6|29	77567313	539507482	200	RNA-Seq	METAGENOMIC
SRR23971443	629-1-L1	market_metagenome	Env_0875	market_629_late	West|6|29	125621721	126205547	200	RNA-Seq	METAGENOMIC
SRR23971444	629-3-C	market_metagenome	Env_0877	market_629_late	West|6|29	125098899	125353466	200	RNA-Seq	METAGENOMIC
SRR23971445	629-5-L4	market_metagenome	Env_0879	market_629_late	West|6|29	70207376	71378702	200	RNA-Seq	METAGENOMIC
SRR23971447	629-8-L7	market_metagenome	Env_0882	market_629_late	West|6|29	159901308	161971619	200	RNA-Seq	METAGENOMIC
SRR23971452	629-11-L	market_metagenome	Env_0885	market_629_late	West|6|29	141706660	141989961	200	RNA-Seq	METAGENOMIC
SRR23971489	629-13-L	market_metagenome	Env_0887	market_629_late	West|6|29	75494601	75800744	200	RNA-Seq	METAGENOMIC
SRR23971500	629-L-1	market_metagenome	Env_0889	market_629_late	West|6|29	74081065	74517474	200	RNA-Seq	METAGENOMIC
SRR23971511	CCDC-744	market_metagenome	Env_0893	market_629_late	West|6|29	111986451	112138198	200	RNA-Seq	METAGENOMIC
SRR23971577	CCDC-746	market_metagenome	Env_0895	market_629_late	West|6|29	94719953	94882266	200	RNA-Seq	METAGENOMIC
SRR23971422	HJ200062-20200112-1	market_metagenome	Env_0577	market_629_Jan12	West|6|29-31-33	175229519	176977976	43	RNA-Seq	METAGENOMIC
SRR23971423	HJ200063-20200112-1	market_metagenome	Env_0578	market_629_Jan12	West|6|29-31-33	119551288	122590302	43	RNA-Seq	METAGENOMIC
SRR23971424	HJ200065-20200112-1	market_metagenome	Env_0580	market_629_Jan12	West|6|29-31-33	68950102	104020347	43	RNA-Seq	METAGENOMIC
SRR23971425	HJ200066-20200112-1	market_metagenome	Env_0581	market_629_Jan12	West|6|29-31-33	140539706	142862977	43	RNA-Seq	METAGENOMIC
SRR23971426	HJ200067-20200112-1	market_metagenome	Env_0582	market_629_Jan12	West|6|29-31-33	76512192	77126276	43	RNA-Seq	METAGENOMIC
SRR23971449	Q61	market_metagenome	Env_0576	market_629_Jan12	West|6|29-31-33	205291993	213214887	43	RNA-Seq	METAGENOMIC
SRR23971450	Q64	market_metagenome	Env_0579	market_629_Jan12	West|6|29-31-33	118606094	120407578	43	RNA-Seq	METAGENOMIC
SRR23971451	Q68	market_metagenome	Env_0583	market_629_Jan12	West|6|29-31-33	84998480	110003167	43	RNA-Seq	METAGENOMIC
SRR23971453	Q69	market_metagenome	Env_0584	market_629_Jan12	West|6|29-31-33	96083531	106780574	43	RNA-Seq	METAGENOMIC
SRR23971454	Q70	market_metagenome	Env_0585	market_629_Jan12	West|6|29-31-33	145128626	149217177	43	RNA-Seq	METAGENOMIC
SRR23971446	w-6-29-33	market_metagenome	Env_0828	single_end_duplicate	West|6|29-33	129123143	141210150	50	RNA-Seq	METAGENOMIC
SRR23971498	w-6-29-33	market_metagenome	Env_0828	market_west_drain	West|6|29-33	112964949	113263909	200	RNA-Seq	METAGENOMIC
SRR23971584	1-27-33	market_metagenome	Env_0660	market_west_drain	West|6|29-33	44639948	46362371	200	RNA-Seq	METAGENOMIC
SRR23971439	C17_2	market_metagenome	Env_0847	market_west_late	West|6|34	57690758	57899048	200	RNA-Seq	METAGENOMIC
SRR23971505	A18	market_metagenome	Env_0018	market_west_Jan1	West|7|15-17	152435643	156417687	200	RNA-Seq	METAGENOMIC
SRR23971506	A2	market_metagenome	Env_0002	market_west_Jan1	West|7|15-17	112658248	116146410	200	RNA-Seq	METAGENOMIC
SRR23971507	A20	market_metagenome	Env_0020	market_west_Jan1	West|7|15-17	73700199	75309132	200	RNA-Seq	METAGENOMIC
SRR23971533	A20	sars2_amplicon	Env_0020	market_west_Jan1	West|7|15-17	14880418	15329460	200	RNA-Seq	METAGENOMIC
SRR23971512	A63	market_metagenome	Env_0063	market_west_Jan1	West|7|16-18	111399534	115975750	200	RNA-Seq	METAGENOMIC
SRR23971510	A61	market_metagenome	Env_0061	market_west_Jan1	West|7|20-22-24	212379427	224953909	200	RNA-Seq	METAGENOMIC
SRR23971509	A55	market_metagenome	Env_0055	market_west_Jan1	West|7|25	112193854	125758092	200	RNA-Seq	METAGENOMIC
SRR23971544	7-26-BX	market_metagenome	Env_0705	market_west_late	West|7|26	74388854	158014922	200	RNA-Seq	METAGENOMIC
SRR23971546	7-26-PSW	market_metagenome	Env_0707	market_west_late	West|7|26	70587026	227793778	200	RNA-Seq	METAGENOMIC
SRR23971547	7-26-PSN	market_metagenome	Env_0708	market_west_late	West|7|26	108475394	224304279	200	RNA-Seq	METAGENOMIC
SRR23971548	7-26-DH	market_metagenome	Env_0712	market_west_late	West|7|26	198881855	310965098	200	RNA-Seq	METAGENOMIC
SRR23971433	1-27-28	market_metagenome	Env_0657	market_west_drain	West|7|34	48750068	145238971	200	RNA-Seq	METAGENOMIC
SRR23971508	A33	market_metagenome	Env_0033	market_west_Jan1	West|7|NA	89364726	90644269	200	RNA-Seq	METAGENOMIC
SRR23971427	W-8-25-D2	market_metagenome	Env_0807	single_end_duplicate	West|8|25	171803432	181786282	50	RNA-Seq	METAGENOMIC
SRR23971448	Q37	market_metagenome	Env_0552	market_825	West|8|25	87210521	106545428	43	RNA-Seq	METAGENOMIC
SRR23971456	8-25-M1	market_metagenome	Env_0719	market_825_late	West|8|25	40991025	224068090	200	RNA-Seq	METAGENOMIC
SRR23971461	W-8-25-D1	market_metagenome	Env_0806	market_825_late	West|8|25	218136505	286664351	50	RNA-Seq	METAGENOMIC
SRR23971462	W-8-25-D2	market_metagenome	Env_0807	market_825_late	West|8|25	74411331	74578401	200	RNA-Seq	METAGENOMIC
SRR23971469	HJ200031-20200112-1	market_metagenome	Env_0546	market_825	West|8|25	97554709	119825994	43	RNA-Seq	METAGENOMIC
SRR23971470	HJ200032-20200112-1	market_metagenome	Env_0547	market_825	West|8|25	82056296	140059362	43	RNA-Seq	METAGENOMIC
SRR23971471	HJ200033-20200112-1	market_metagenome	Env_0548	market_825	West|8|25	96934018	116117847	43	RNA-Seq	METAGENOMIC
SRR23971472	HJ200034-20200112-1	market_metagenome	Env_0549	market_825	West|8|25	32017433	148630458	43	RNA-Seq	METAGENOMIC
SRR23971474	HJ200035-20200112-1	market_metagenome	Env_0550	market_825	West|8|25	55499490	114656800	43	RNA-Seq	METAGENOMIC
SRR23971475	HJ200036-20200112-1	market_metagenome	Env_0551	market_825	West|8|25	221477181	229948912	43	RNA-Seq	METAGENOMIC
SRR23971476	HJ200038-20200112-1	market_metagenome	Env_0553	market_825	West|8|25	86410197	151880283	43	RNA-Seq	METAGENOMIC
SRR23971477	HJ200039-20200112-1	market_metagenome	Env_0554	market_825	West|8|25	115130679	142286542	43	RNA-Seq	METAGENOMIC
SRR23971478	HJ200040-20200112-1	market_metagenome	Env_0555	market_825	West|8|25	138533031	148189843	43	RNA-Seq	METAGENOMIC
SRR23971490	W-8-25-L	market_metagenome	Env_0808	market_825_late	West|8|25	248738539	288091423	50	RNA-Seq	METAGENOMIC
SRR23971491	W-8-25-L2	market_metagenome	Env_0809	market_825_late	West|8|25	75833422	75916569	200	RNA-Seq	METAGENOMIC
SRR23971522	CCDC-760	market_metagenome	Env_0909	market_825_late	West|8|25	123926667	124104708	200	RNA-Seq	METAGENOMIC
SRR23971545	W-8-25-L2	market_metagenome	Env_0809	single_end_duplicate	West|8|25	87425468	159842119	50	RNA-Seq	METAGENOMIC
SRR23971549	8-25-BX	market_metagenome	Env_0714	market_825_late	West|8|25	3459781	536367626	200	RNA-Seq	METAGENOMIC
SRR23971550	8-25-D_2	market_metagenome	Env_0715	market_825_late	West|8|25	117586070	117686686	200	RNA-Seq	METAGENOMIC
SRR23971551	8-25-CK	market_metagenome	Env_0716	market_825_late	West|8|25	17119336	740249238	200	RNA-Seq	METAGENOMIC
SRR23971552	8-25-M2	market_metagenome	Env_0720	market_825_late	West|8|25	196128422	821540848	200	RNA-Seq	METAGENOMIC
SRR23971555	8-25-D1	market_metagenome	Env_0753	market_825_late	West|8|25	3178473	547750004	200	RNA-Seq	METAGENOMIC
SRR23971557	8-25-D2	market_metagenome	Env_0754	market_825_late	West|8|25	41223440	41448879	200	RNA-Seq	METAGENOMIC
SRR23971558	8-25-Long	market_metagenome	Env_0756	market_825_late	West|8|25	142296290	142719167	200	RNA-Seq	METAGENOMIC
SRR23971587	8-25-D	market_metagenome	Env_0717	market_825_late	West|8|25	1262502	892638930	200	RNA-Seq	METAGENOMIC
SRR23971588	CCDC-758	market_metagenome	Env_0907	market_825_late	West|8|25	58766993	59094633	200	RNA-Seq	METAGENOMIC
SRR23971410	HJ200050-20200112-1	market_metagenome	Env_0565	market_stall_wildlife	West|8|36-38	100151994	105753979	43	RNA-Seq	METAGENOMIC
SRR23971479	HJ200041-20200112-1	market_metagenome	Env_0556	market_stall_wildlife	West|8|36-38	95054592	175898966	43	RNA-Seq	METAGENOMIC
SRR23971480	HJ200042-20200112-1	market_metagenome	Env_0557	market_stall_wildlife	West|8|36-38	186528713	197873948	43	RNA-Seq	METAGENOMIC
SRR23971481	HJ200043-20200112-1	market_metagenome	Env_0558	market_stall_wildlife	West|8|36-38	67496932	183054104	43	RNA-Seq	METAGENOMIC
SRR23971482	HJ200044-20200112-1	market_metagenome	Env_0559	market_stall_wildlife	West|8|36-38	116493113	133367538	43	RNA-Seq	METAGENOMIC
SRR23971483	HJ200045-20200112-1	market_metagenome	Env_0560	market_stall_wildlife	West|8|36-38	72305532	105882981	43	RNA-Seq	METAGENOMIC
SRR23971485	HJ200046-20200112-1	market_metagenome	Env_0561	market_stall_wildlife	West|8|36-38	101393995	121910404	43	RNA-Seq	METAGENOMIC
SRR23971486	HJ200047-20200112-1	market_metagenome	Env_0562	market_stall_wildlife	West|8|36-38	136296404	151986733	43	RNA-Seq	METAGENOMIC
SRR23971487	HJ200048-20200112-1	market_metagenome	Env_0563	market_stall_wildlife	West|8|36-38	104999586	123232053	43	RNA-Seq	METAGENOMIC
SRR23971488	HJ200049-20200112-1	market_metagenome	Env_0564	market_stall_wildlife	West|8|36-38	101343674	123180392	43	RNA-Seq	METAGENOMIC
SRR23971411	HJ200051-20200112-1	market_metagenome	Env_0566	market_stall_wildlife	West|8|37	115628526	115961889	43	RNA-Seq	METAGENOMIC
SRR23971412	HJ200052-20200112-1	market_metagenome	Env_0567	market_stall_wildlife	West|8|37	128960359	154033234	43	RNA-Seq	METAGENOMIC
SRR23971413	HJ200053-20200112-1	market_metagenome	Env_0568	market_stall_wildlife	West|8|37	111772674	126620146	43	RNA-Seq	METAGENOMIC
SRR23971414	HJ200054-20200112-1	market_metagenome	Env_0569	market_stall_wildlife	West|8|37	156925853	160051173	43	RNA-Seq	METAGENOMIC
SRR23971415	HJ200055-20200112-1	market_metagenome	Env_0570	market_stall_wildlife	West|8|37	89430555	105808973	43	RNA-Seq	METAGENOMIC
SRR23971417	HJ200056-20200112-1	market_metagenome	Env_0571	market_stall_wildlife	West|8|37	165786107	189379769	43	RNA-Seq	METAGENOMIC
SRR23971418	HJ200057-20200112-1	market_metagenome	Env_0572	market_stall_wildlife	West|8|37	106121514	113160785	43	RNA-Seq	METAGENOMIC
SRR23971419	HJ200058-20200112-1	market_metagenome	Env_0573	market_stall_wildlife	West|8|37	256871597	271738868	43	RNA-Seq	METAGENOMIC
SRR23971420	HJ200059-20200112-1	market_metagenome	Env_0574	market_stall_wildlife	West|8|37	245910866	254572241	43	RNA-Seq	METAGENOMIC
SRR23971421	HJ200060-20200112-1	market_metagenome	Env_0575	market_stall_wildlife	West|8|37	174745552	180300472	43	RNA-Seq	METAGENOMIC
SRR23971442	CCDC-454	market_metagenome	Env_0873	market_stall_wildlife_late	West|9|34	120057028	120296839	200	RNA-Seq	METAGENOMIC
SRR23971518	HJ200001-20200112-1	market_metagenome	Env_0516	market_stall_wildlife	West|9|34-36	97898134	116413586	43	RNA-Seq	METAGENOMIC
SRR23971519	HJ200002-20200112-1	market_metagenome	Env_0517	market_stall_wildlife	West|9|34-36	225334136	231135586	43	RNA-Seq	METAGENOMIC
SRR23971520	HJ200003-20200112-1	market_metagenome	Env_0518	market_stall_wildlife	West|9|34-36	106816380	120833173	43	RNA-Seq	METAGENOMIC
SRR23971521	HJ200004-20200112-1	market_metagenome	Env_0519	market_stall_wildlife	West|9|34-36	216187734	227313012	43	RNA-Seq	METAGENOMIC
SRR23971523	HJ200005-20200112-1	market_metagenome	Env_0520	market_stall_wildlife	West|9|34-36	93569403	115311032	43	RNA-Seq	METAGENOMIC
SRR23971524	HJ200006-20200112-1	market_metagenome	Env_0521	market_stall_wildlife	West|9|34-36	79180940	128838556	43	RNA-Seq	METAGENOMIC
SRR23971525	HJ200007-20200112-1	market_metagenome	Env_0522	market_stall_wildlife	West|9|34-36	79353606	136838931	43	RNA-Seq	METAGENOMIC
SRR23971526	HJ200008-20200112-1	market_metagenome	Env_0523	market_stall_wildlife	West|9|34-36	146491392	152542047	43	RNA-Seq	METAGENOMIC
SRR23971527	HJ200009-20200112-1	market_metagenome	Env_0524	market_stall_wildlife	West|9|34-36	101063052	149941267	43	RNA-Seq	METAGENOMIC
SRR23971528	HJ200010-20200112-1	market_metagenome	Env_0525	market_stall_wildlife	West|9|34-36	140254650	147884404	43	RNA-Seq	METAGENOMIC
SRR23971463	HJ200025-20200112-1	market_metagenome	Env_0540	market_stall_wildlife	West|9|35-37	64801347	122867989	43	RNA-Seq	METAGENOMIC
SRR23971464	HJ200026-20200112-1	market_metagenome	Env_0541	market_stall_wildlife	West|9|35-37	100739415	117079835	43	RNA-Seq	METAGENOMIC
SRR23971465	HJ200027-20200112-1	market_metagenome	Env_0542	market_stall_wildlife	West|9|35-37	83626687	130295351	43	RNA-Seq	METAGENOMIC
SRR23971466	HJ200028-20200112-1	market_metagenome	Env_0543	market_stall_wildlife	West|9|35-37	55615068	135722920	43	RNA-Seq	METAGENOMIC
SRR23971467	HJ200029-20200112-1	market_metagenome	Env_0544	market_stall_wildlife	West|9|35-37	62950557	93556100	43	RNA-Seq	METAGENOMIC
SRR23971468	HJ200030-20200112-1	market_metagenome	Env_0545	market_stall_wildlife	West|9|35-37	106791024	133794408	43	RNA-Seq	METAGENOMIC
SRR23971540	HJ200021-20200112-1	market_metagenome	Env_0536	market_stall_wildlife	West|9|35-37	77390009	100441005	43	RNA-Seq	METAGENOMIC
SRR23971541	HJ200022-20200112-1	market_metagenome	Env_0537	market_stall_wildlife	West|9|35-37	119872954	135591538	43	RNA-Seq	METAGENOMIC
SRR23971542	HJ200023-20200112-1	market_metagenome	Env_0538	market_stall_wildlife	West|9|35-37	48897084	128357888	43	RNA-Seq	METAGENOMIC
SRR23971589	HJ200024-20200112-1	market_metagenome	Env_0539	market_stall_wildlife	West|9|35-37	77372363	100491175	43	RNA-Seq	METAGENOMIC
SRR23971529	HJ200011-20200112-1	market_metagenome	Env_0526	market_stall_wildlife	West|9|38	39012862	191240048	43	RNA-Seq	METAGENOMIC
SRR23971530	HJ200012-20200112-1	market_metagenome	Env_0527	market_stall_wildlife	West|9|38	91778651	130340061	43	RNA-Seq	METAGENOMIC
SRR23971531	HJ200013-20200112-1	market_metagenome	Env_0528	market_stall_wildlife	West|9|38	104812354	123280804	43	RNA-Seq	METAGENOMIC
SRR23971532	HJ200014-20200112-1	market_metagenome	Env_0529	market_stall_wildlife	West|9|38	73398048	107473312	43	RNA-Seq	METAGENOMIC
SRR23971534	HJ200015-20200112-1	market_metagenome	Env_0530	market_stall_wildlife	West|9|38	97097906	135398878	43	RNA-Seq	METAGENOMIC
SRR23971535	HJ200016-20200112-1	market_metagenome	Env_0531	market_stall_wildlife	West|9|38	92898160	116470371	43	RNA-Seq	METAGENOMIC
SRR23971536	HJ200017-20200112-1	market_metagenome	Env_0532	market_stall_wildlife	West|9|38	93287697	107424010	43	RNA-Seq	METAGENOMIC
SRR23971537	HJ200018-20200112-1	market_metagenome	Env_0533	market_stall_wildlife	West|9|38	57756289	138556572	43	RNA-Seq	METAGENOMIC
SRR23971538	HJ200019-20200112-1	market_metagenome	Env_0534	market_stall_wildlife	West|9|38	66198516	79774840	43	RNA-Seq	METAGENOMIC
SRR23971539	HJ200020-20200112-1	market_metagenome	Env_0535	market_stall_wildlife	West|9|38	69383317	105976300	43	RNA-Seq	METAGENOMIC
SRR23971457	WS-1-1	sewage_metagenome	Env_0742	market_sewage_west	West|NA|NA	182604700	196688747	200	RNA-Seq	METAGENOMIC
SRR23971458	WS-2-1	sewage_metagenome	Env_0746	market_sewage_west	West|NA|NA	168030151	177640920	200	RNA-Seq	METAGENOMIC
SRR23971459	WS-2-3	sewage_metagenome	Env_0748	market_sewage_west	West|NA|NA	64183589	74216910	200	RNA-Seq	METAGENOMIC
SRR23971494	WWS-1#	sewage_metagenome	Env_0816	market_sewage_west	West|NA|NA	212391090	254996099	50	RNA-Seq	METAGENOMIC
SRR23971495	WWS-1#-2	sewage_metagenome	Env_0817	market_sewage_west	West|NA|NA	147038474	147156115	200	RNA-Seq	METAGENOMIC
SRR23971496	WWS-1#-3	sewage_metagenome	Env_0818	market_sewage_west	West|NA|NA	295424614	330614411	50	RNA-Seq	METAGENOMIC
SRR23971497	WWS-2#-3	sewage_metagenome	Env_0821	market_sewage_west	West|NA|NA	227679926	343405501	50	RNA-Seq	METAGENOMIC
SRR23971514	WWS-2#-2	sewage_metagenome	Env_0820	market_sewage_west	West|NA|NA	107161779	107247402	200	RNA-Seq	METAGENOMIC
SRR23971568	WWS-1#-2	sewage_metagenome	Env_0817	single_end_duplicate	West|NA|NA	139051422	150314711	50	RNA-Seq	METAGENOMIC
