Lab code	Sample ID	Sampling date	Sample location	Street	Vendor	Edge case	Stall ID	Stall ID (merged)	Sample type	Sample information	SARS-CoV-2_qPCR_result	Latitude	Longitude	Sequencing run	SARS-CoV-2_NGS_result
E69	Env_0283	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Sewage on floor	Negative	30.619718	114.257892	None	Negative
E70	Env_0284	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Surface of cart	Negative	30.619718	114.257892	None	Negative
E78	Env_0292	01/01/2020	East	4	27		East|4|27	East|4|27	Environmental swab	Surface of the door	Negative	30.619678	114.257961	None	Negative
E79	Env_0293	01/01/2020	East	4	27		East|4|27	East|4|27	Environmental swab	Surface of cart	Negative	30.619678	114.257961	None	Negative
E63	Env_0277	01/01/2020	East	5	1-3-5-7-9		East|5|1-3-5-7-9	East|5|1-3-5-7-9	Environmental swab	Table top	Negative	30.619686	114.257623	None	Negative
E64	Env_0278	01/01/2020	East	5	1-3-5-7-9		East|5|1-3-5-7-9	East|5|1-3-5-7-9	Environmental swab	Water in fishbowl	Negative	30.619686	114.257623	None	Negative
E65	Env_0279	01/01/2020	East	5	1-3-5-7-9		East|5|1-3-5-7-9	East|5|1-3-5-7-9	Environmental swab	Basin for seafood	Negative	30.619686	114.257623	None	Negative
E66	Env_0280	01/01/2020	East	5	1-3-5-7-9		East|5|1-3-5-7-9	East|5|1-3-5-7-9	Environmental swab	Scale	Negative	30.619686	114.257623	None	Negative
E62	Env_0276	01/01/2020	East	5	8-10		East|5|8-10	East|5|8-10	Environmental swab	Surface of cart	Negative	30.619747	114.257649	None	Negative
E59	Env_0273	01/01/2020	East	6	1-3		East|6|1-3	East|6|1-3	Environmental swab	Surface of foam box	Negative	30.619752	114.257556	None	Negative
E60	Env_0274	01/01/2020	East	6	1-3		East|6|1-3	East|6|1-3	Environmental swab	Surface of food	Negative	30.619752	114.257556	None	Negative
E61	Env_0275	01/01/2020	East	6	1-3		East|6|1-3	East|6|1-3	Environmental swab	Ground	Positive	30.619752	114.257556	SRR23971576	Positive
E56	Env_0270	01/01/2020	East	6	17-19		East|6|17-19	East|6|17-19	Environmental swab	Surface of scale	Negative	30.619806	114.257783	None	Negative
E57	Env_0271	01/01/2020	East	6	17-19		East|6|17-19	East|6|17-19	Environmental swab	Surface of fishing net	Negative	30.619806	114.257783	None	Negative
E58	Env_0272	01/01/2020	East	6	17-19		East|6|17-19	East|6|17-19	Environmental swab	Water in fishbowl	Negative	30.619806	114.257783	None	Negative
E55	Env_0269	01/01/2020	East	6	23-25		East|6|23-25	East|6|23-25	Environmental swab	Surface of apron	Negative	30.619827	114.257867	None	Negative
E80	Env_0294	01/01/2020	East	6	24-26		East|6|24-26	East|6|24-26	Environmental swab	Gas tank	Negative	30.619875	114.257853	None	Negative
E81	Env_0295	01/01/2020	East	7	26		East|7|26	East|7|26	Environmental swab	Sewage on floor	Negative	30.619957	114.257843	None	Negative
E54	Env_0268	01/01/2020	East	7	5		East|7|5	East|7|5	Environmental swab	Container	Negative	30.61984	114.257572	None	Negative
E29	Env_0243	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Ground	Negative	30.619966	114.257749	None	Negative
E30	Env_0244	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Surface of scale	Negative	30.619966	114.257749	None	Negative
E31	Env_0245	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Surface of apron	Negative	30.619966	114.257749	None	Negative
E32	Env_0246	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Basin	Negative	30.619966	114.257749	None	Negative
E33	Env_0247	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Wall	Negative	30.619966	114.257749	None	Negative
E34	Env_0248	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Surface of cart	Negative	30.619966	114.257749	None	Negative
E35	Env_0249	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Table top	Negative	30.619966	114.257749	None	Negative
E36	Env_0250	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Surface of shoe	Negative	30.619966	114.257749	None	Negative
E37	Env_0251	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Fishing net	Negative	30.619966	114.257749	None	Negative
E38	Env_0252	01/01/2020	East	8	19		East|8|19	East|8|19	Environmental swab	Water in fishbowl	Negative	30.619966	114.257749	None	Negative
E43	Env_0257	01/01/2020	East	8	2		East|8|2	East|8|2	Environmental swab	Domestic water	Negative	30.619954	114.257477	None	Negative
E51	Env_0265	01/01/2020	East	8	28		East|8|28	East|8|28	Environmental swab	Inner surface of foam box	Negative	30.620041	114.257846	None	Negative
E52	Env_0266	01/01/2020	East	8	28		East|8|28	East|8|28	Environmental swab	Scale	Negative	30.620041	114.257846	None	Negative
E53	Env_0267	01/01/2020	East	8	28		East|8|28	East|8|28	Environmental swab	Water in fishbowl	Negative	30.620041	114.257846	None	Negative
E39	Env_0253	01/01/2020	East	8	6		East|8|6	East|8|6	Environmental swab	Water in fishbowl	Negative	30.619968	114.257533	None	Negative
E40	Env_0254	01/01/2020	East	8	6		East|8|6	East|8|6	Environmental swab	Shrimp net	Negative	30.619968	114.257533	None	Negative
E41	Env_0255	01/01/2020	East	8	6		East|8|6	East|8|6	Environmental swab	Wall	Negative	30.619968	114.257533	None	Negative
E42	Env_0256	01/01/2020	East	8	6		East|8|6	East|8|6	Environmental swab	Surface of food	Negative	30.619968	114.257533	None	Negative
E50	Env_0264	01/01/2020	East	9	12-14		East|9|12-14	East|9|12-14	Environmental swab	Blood on the ground in front of the door	Negative	30.620069	114.257609	None	Negative
E49	Env_0263	01/01/2020	East	9	16		East|9|16	East|9|16	Environmental swab	Table top	Negative	30.62008	114.257651	None	Negative
E84	Env_0298	01/01/2020	East	9	16		East|9|16	East|9|16	Environmental swab	Blood on the ground	Negative	30.62008	114.257651	None	Negative
E85	Env_0299	01/01/2020	East	9	16		East|9|16	East|9|16	Environmental swab	Surface of chopping board	Negative	30.62008	114.257651	None	Negative
E48	Env_0262	01/01/2020	East	9	22		East|9|22	East|9|22	Environmental swab	Blood on the ground in front of the door	Positive	30.620101	114.257737	SRR23971575	Positive
E82	Env_0296	01/01/2020	East	9	24-26-28		East|9|24-26-28	East|9|24-26-28	Environmental swab	Sewage on floor	Negative	30.620114	114.257792	None	Negative
B8	Env_0129	01/01/2020	West	11	11		West|11|11	West|11|11-13	Environmental swab	Cutting machine	Negative	30.619942	114.256698	None	Negative
B10	Env_0131	01/01/2020	West	11	11-13		West|11|11-13	West|11|11-13	Environmental swab	Cart	Negative	30.619937	114.256683	None	Negative
B11	Env_0132	01/01/2020	West	11	11-13		West|11|11-13	West|11|11-13	Environmental swab	Inner surface of refrigerator	Negative	30.619937	114.256683	None	Negative
B12	Env_0133	01/01/2020	West	11	11-13		West|11|11-13	West|11|11-13	Environmental swab	Cashier	Negative	30.619937	114.256683	None	Negative
B9	Env_0130	01/01/2020	West	11	11-13		West|11|11-13	West|11|11-13	Environmental swab	Surface of food	Negative	30.619937	114.256683	None	Negative
F10	Env_0310	01/01/2020	West	11	15		West|11|15	West|11|15	Environmental swab	Ground	Negative	30.619929	114.256638	None	Negative
F11	Env_0311	01/01/2020	West	11	15		West|11|15	West|11|15	Environmental swab	Inner surface of foam box	Negative	30.619929	114.256638	None	Negative
F12	Env_0312	01/01/2020	West	11	15		West|11|15	West|11|15	Environmental swab	Scale	Negative	30.619929	114.256638	None	Negative
F13	Env_0313	01/01/2020	West	11	15		West|11|15	West|11|15	Environmental swab	Surface of the wall 	Positive	30.619929	114.256638	SRR23971580	Positive
F14	Env_0314	01/01/2020	West	11	15		West|11|15	West|11|15	Environmental swab	Water in basin	Negative	30.619929	114.256638	None	Negative
F9	Env_0309	01/01/2020	West	11	15		West|11|15	West|11|15	Environmental swab	Surface of white basket	Negative	30.619929	114.256638	None	Negative
F15	Env_0315	01/01/2020	West	11	17		West|11|17	West|11|17	Environmental swab	Ground	Negative	30.619922	114.256611	None	Negative
F16	Env_0316	01/01/2020	West	11	17		West|11|17	West|11|17	Environmental swab	Surface of the door	Negative	30.619922	114.256611	None	Negative
F17	Env_0317	01/01/2020	West	11	17		West|11|17	West|11|17	Environmental swab	Office table	Negative	30.619922	114.256611	None	Negative
F18	Env_0318	01/01/2020	West	11	17		West|11|17	West|11|17	Environmental swab	Bottom of door	Negative	30.619922	114.256611	None	Negative
F19	Env_0319	01/01/2020	West	11	17		West|11|17	West|11|17	Environmental swab	Sewage on floor	Negative	30.619922	114.256611	None	Negative
C1	Env_0139	01/01/2020	West	13	X2		West|13|X2	West|13|X2	Environmental swab	Wall	Negative	30.620205	114.256862	None	Negative
C2	Env_0140	01/01/2020	West	13	X2		West|13|X2	West|13|X2	Environmental swab	Food container	Negative	30.620205	114.256862	None	Negative
C3	Env_0141	01/01/2020	West	13	X2		West|13|X2	West|13|X2	Environmental swab	Surface of food	Negative	30.620205	114.256862	None	Negative
C4	Env_0142	01/01/2020	West	13	X2		West|13|X2	West|13|X2	Environmental swab	Sewage on floor	Negative	30.620205	114.256862	None	Negative
C5	Env_0143	01/01/2020	West	13	X2		West|13|X2	West|13|X2	Environmental swab	Wall	Negative	30.620205	114.256862	None	Negative
C6	Env_0144	01/01/2020	West	13	X2		West|13|X2	West|13|X2	Environmental swab	Table top	Negative	30.620205	114.256862	None	Negative
C7	Env_0145	01/01/2020	West	13	X2		West|13|X2	West|13|X2	Environmental swab	Water	Negative	30.620205	114.256862	None	Negative
D23	Env_0204	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Outside surface of freezer	Negative	30.620185	114.256652	None	Negative
D24	Env_0205	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Cashier	Negative	30.620185	114.256652	None	Negative
D25	Env_0206	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Surface of packing bag	Negative	30.620185	114.256652	None	Negative
D26	Env_0207	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Surface of packing bag for seafood in freezer	Negative	30.620185	114.256652	None	Negative
D27	Env_0208	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Surface of packing bag for fish in freezer	Negative	30.620185	114.256652	None	Negative
D28	Env_0209	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Inner surface of freezer	Negative	30.620185	114.256652	None	Negative
D29	Env_0210	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Surface of packing bag for meat	Negative	30.620185	114.256652	None	Negative
D30	Env_0211	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Surface of water cup	Negative	30.620185	114.256652	None	Negative
D31	Env_0212	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Meat in refrigerator	Negative	30.620185	114.256652	None	Negative
D32	Env_0213	01/01/2020	West	15	15		West|15|15	West|15|15	Environmental swab	Surface of a cart	Positive	30.620185	114.256652	SRR23971574	Positive
B13	Env_0134	01/01/2020	West	15	44		West|15|44	West|15|44	Environmental swab	Bucket	Negative	30.620129	114.256173	None	Negative
B14	Env_0135	01/01/2020	West	15	44		West|15|44	West|15|44	Environmental swab	Glove	Negative	30.620129	114.256173	None	Negative
B15	Env_0136	01/01/2020	West	15	44		West|15|44	West|15|44	Environmental swab	Basket	Negative	30.620129	114.256173	None	Negative
B16	Env_0137	01/01/2020	West	15	44	Reassigned to 44 because I can’t see a distinction between 44 and X44.	West|15|44	West|15|44	Environmental swab	Cashier	Negative	30.620129	114.256173	None	Negative
B17	Env_0138	01/01/2020	West	15	44	Reassigned to 44 because I can’t see a distinction between 44 and X44.	West|15|44	West|15|44	Environmental swab	Scale	Positive	30.620128	114.256173	SRR23971572	Positive
F67	Env_0367	01/01/2020	West	2	1-3		West|2|1-3	West|2|1-3	Environmental swab	Roller shutter	Negative	30.619267	114.257051	None	Negative
F68	Env_0368	01/01/2020	West	2	1-3		West|2|1-3	West|2|1-3	Environmental swab	Ground	Negative	30.619267	114.257051	None	Negative
F69	Env_0369	01/01/2020	West	2	1-3		West|2|1-3	West|2|1-3	Environmental swab	Roller shutter	Negative	30.619267	114.257051	None	Negative
F70	Env_0370	01/01/2020	West	2	1-3		West|2|1-3	West|2|1-3	Environmental swab	Ground	Negative	30.619267	114.257051	None	Negative
F55	Env_0355	01/01/2020	West	2	10-12		West|2|10-12	West|2|10-12	Environmental swab	Roller shutter	Negative	30.619291	114.256918	None	Negative
F56	Env_0356	01/01/2020	West	2	10-12		West|2|10-12	West|2|10-12	Environmental swab	Ground	Negative	30.619291	114.256918	None	Negative
F57	Env_0357	01/01/2020	West	2	10-12		West|2|10-12	West|2|10-12	Environmental swab	Roller shutter	Negative	30.619291	114.256918	None	Negative
F58	Env_0358	01/01/2020	West	2	10-12		West|2|10-12	West|2|10-12	Environmental swab	Ground	Negative	30.619291	114.256918	None	Negative
D1	Env_0182	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Scale	Negative	30.619279	114.256871	None	Negative
D2	Env_0183	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Cashier	Negative	30.619279	114.256871	None	Negative
D3	Env_0184	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Pool	Negative	30.619279	114.256871	None	Negative
D4	Env_0185	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Towel	Negative	30.619279	114.256871	None	Negative
D5	Env_0186	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Hairy Crab cage	Negative	30.619279	114.256871	None	Negative
D6	Env_0187	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Pool	Negative	30.619279	114.256871	None	Negative
D7	Env_0188	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Pool	Negative	30.619279	114.256871	None	Negative
F53	Env_0353	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Roller shutter	Negative	30.619279	114.256871	None	Negative
F54	Env_0354	01/01/2020	West	2	14		West|2|14	West|2|14	Environmental swab	Ground	Positive	30.619279	114.256871	SRR23971582	Positive
E5	Env_0219	01/01/2020	West	2	15		West|2|15	West|2|15	Environmental swab	Surface of the door	Negative	30.619222	114.256864	None	Negative
E6	Env_0220	01/01/2020	West	2	15		West|2|15	West|2|15	Environmental swab	Surface of gas cylinders	Negative	30.619222	114.256864	None	Negative
F35	Env_0335	01/01/2020	West	2	15		West|2|15	West|2|15	Environmental swab	Roller shutter	Negative	30.619222	114.256864	None	Negative
F36	Env_0336	01/01/2020	West	2	15		West|2|15	West|2|15	Environmental swab	Ground	Negative	30.619222	114.256864	None	Negative
F39	Env_0339	01/01/2020	West	2	16		West|2|16	West|2|16-18	Environmental swab	Roller shutter	Negative	30.619274	114.256847	None	Negative
F40	Env_0340	01/01/2020	West	2	16		West|2|16	West|2|16-18	Environmental swab	Ground	Negative	30.619274	114.256847	None	Negative
F33	Env_0333	01/01/2020	West	2	17		West|2|17	West|2|17	Environmental swab	Roller shutter	Positive	30.619214	114.256834	None	Negative
F34	Env_0334	01/01/2020	West	2	17		West|2|17	West|2|17	Environmental swab	Ground	Negative	30.619214	114.256834	None	Negative
F37	Env_0337	01/01/2020	West	2	18		West|2|18	West|2|16-18	Environmental swab	Roller shutter	Negative	30.619267	114.256818	None	Negative
F38	Env_0338	01/01/2020	West	2	18		West|2|18	West|2|16-18	Environmental swab	Ground	Negative	30.619267	114.256818	None	Negative
F27	Env_0327	01/01/2020	West	2	19-21-23		West|2|19-21-23	West|2|19-21-23	Environmental swab	Roller shutter	Negative	30.619201	114.256776	None	Negative
F28	Env_0328	01/01/2020	West	2	19-21-23		West|2|19-21-23	West|2|19-21-23	Environmental swab	Ground	Negative	30.619201	114.256776	None	Negative
F29	Env_0329	01/01/2020	West	2	19-21-23		West|2|19-21-23	West|2|19-21-23	Environmental swab	Roller shutter	Negative	30.619201	114.256776	None	Negative
F30	Env_0330	01/01/2020	West	2	19-21-23		West|2|19-21-23	West|2|19-21-23	Environmental swab	Ground	Negative	30.619201	114.256776	None	Negative
F31	Env_0331	01/01/2020	West	2	19-21-23		West|2|19-21-23	West|2|19-21-23	Environmental swab	Roller shutter	Negative	30.619201	114.256776	None	Negative
F32	Env_0332	01/01/2020	West	2	19-21-23		West|2|19-21-23	West|2|19-21-23	Environmental swab	Ground	Negative	30.619201	114.256776	None	Negative
F73	Env_0373	01/01/2020	West	2	2		West|2|2	West|2|2	Environmental swab	Roller shutter	Negative	30.619323	114.257049	None	Negative
F74	Env_0374	01/01/2020	West	2	2		West|2|2	West|2|2	Environmental swab	Ground	Negative	30.619323	114.257049	None	Negative
F41	Env_0341	01/01/2020	West	2	20		West|2|20	West|2|20	Environmental swab	Roller shutter	Negative	30.619261	114.256789	None	Negative
F42	Env_0342	01/01/2020	West	2	20		West|2|20	West|2|20	Environmental swab	Ground	Negative	30.619261	114.256789	None	Negative
F43	Env_0343	01/01/2020	West	2	22		West|2|22	West|2|22	Environmental swab	Roller shutter	Negative	30.619253	114.256758	None	Negative
F44	Env_0344	01/01/2020	West	2	22		West|2|22	West|2|22	Environmental swab	Ground	Negative	30.619253	114.256758	None	Negative
F20	Env_0320	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	White basket	Negative	30.619246	114.256733	None	Negative
F21	Env_0321	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Fishing pool	Negative	30.619246	114.256733	None	Negative
F22	Env_0322	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Knief	Negative	30.619246	114.256733	None	Negative
F23	Env_0323	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Scale	Negative	30.619246	114.256733	None	Negative
F24	Env_0324	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Ground	Negative	30.619246	114.256733	None	Negative
F25	Env_0325	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Water in pool	Negative	30.619246	114.256733	None	Negative
F26	Env_0326	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Cart	Negative	30.619246	114.256733	None	Negative
F45	Env_0345	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Roller shutter	Negative	30.619246	114.256733	None	Negative
F46	Env_0346	01/01/2020	West	2	24		West|2|24	West|2|24	Environmental swab	Ground	Positive	30.619246	114.256733	SRR23971581	Positive
E12	Env_0226	01/01/2020	West	2	3		West|2|3	West|2|3	Environmental swab	Surface of the door	Negative	30.619264	114.257038	None	Negative
E13	Env_0227	01/01/2020	West	2	3		West|2|3	West|2|3	Environmental swab	Sewage on floor	Negative	30.619264	114.257038	None	Negative
E14	Env_0228	01/01/2020	West	2	4		West|2|4	West|2|4	Environmental swab	Surface of cart	Negative	30.619316	114.25702	None	Negative
E15	Env_0229	01/01/2020	West	2	4		West|2|4	West|2|4	Environmental swab	Surface of the door	Negative	30.619316	114.25702	None	Negative
F71	Env_0371	01/01/2020	West	2	4		West|2|4	West|2|4	Environmental swab	Roller shutter	Negative	30.619316	114.25702	None	Negative
F72	Env_0372	01/01/2020	West	2	4		West|2|4	West|2|4	Environmental swab	Ground	Negative	30.619316	114.25702	None	Negative
E7	Env_0221	01/01/2020	West	2	5		West|2|5	West|2|5-7	Environmental swab	Styrofoam desk in front of the door	Positive	30.619256	114.257008	SRR23971578	Positive
E8	Env_0222	01/01/2020	West	2	5		West|2|5	West|2|5-7	Environmental swab	Surface of the door	Negative	30.619255	114.257008	None	Negative
E9	Env_0223	01/01/2020	West	2	5		West|2|5	West|2|5-7	Environmental swab	Ground	Negative	30.619255	114.257008	None	Negative
D18	Env_0199	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Cashier	Negative	30.619252	114.256995	None	Negative
D19	Env_0200	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Surface of phone	Negative	30.619252	114.256995	None	Negative
D20	Env_0201	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Surface of ladder	Negative	30.619252	114.256995	None	Negative
D21	Env_0202	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Surface of monitor	Negative	30.619252	114.256995	None	Negative
D22	Env_0203	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Surface of food	Negative	30.619252	114.256995	None	Negative
F63	Env_0363	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Roller shutter	Negative	30.619252	114.256994	None	Negative
F64	Env_0364	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Ground	Negative	30.619252	114.256994	None	Negative
F65	Env_0365	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Roller shutter	Negative	30.619252	114.256994	None	Negative
F66	Env_0366	01/01/2020	West	2	5-7		West|2|5-7	West|2|5-7	Environmental swab	Ground	Negative	30.619252	114.256994	None	Negative
F59	Env_0359	01/01/2020	West	2	6-8		West|2|6-8	West|2|6-8	Environmental swab	Roller shutter	Negative	30.619305	114.256977	None	Negative
F60	Env_0360	01/01/2020	West	2	6-8		West|2|6-8	West|2|6-8	Environmental swab	Ground	Negative	30.619305	114.256977	None	Negative
F61	Env_0361	01/01/2020	West	2	6-8		West|2|6-8	West|2|6-8	Environmental swab	Roller shutter	Negative	30.619305	114.256977	None	Negative
F62	Env_0362	01/01/2020	West	2	6-8		West|2|6-8	West|2|6-8	Environmental swab	Ground	Negative	30.619305	114.256977	None	Negative
E10	Env_0224	01/01/2020	West	2	7		West|2|7	West|2|5-7	Environmental swab	Surface of the door	Negative	30.619249	114.256978	None	Negative
E11	Env_0225	01/01/2020	West	2	7		West|2|7	West|2|5-7	Environmental swab	Ground	Negative	30.619249	114.256978	None	Negative
D10	Env_0191	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Clothe	Negative	30.619237	114.256935	None	Negative
D11	Env_0192	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Seafood cardboard box	Negative	30.619237	114.256935	None	Negative
D12	Env_0193	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Surface of foam box	Negative	30.619237	114.256935	None	Negative
D13	Env_0194	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Environmental swab	Negative	30.619237	114.256935	None	Negative
D14	Env_0195	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Stair handrail	Negative	30.619237	114.256935	None	Negative
D15	Env_0196	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Outside surface of refrigerator	Negative	30.619237	114.256935	None	Negative
D16	Env_0197	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Surface of chair	Negative	30.619237	114.256935	None	Negative
D17	Env_0198	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Basket	Negative	30.619237	114.256935	None	Negative
D8	Env_0189	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Cashier	Negative	30.619237	114.256935	None	Negative
D9	Env_0190	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Scale	Negative	30.619237	114.256935	None	Negative
E2	Env_0216	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Surface of the door	Negative	30.619237	114.256935	None	Negative
E3	Env_0217	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Ground	Negative	30.619237	114.256935	None	Negative
E4	Env_0218	01/01/2020	West	2	9-11		West|2|9-11	West|2|9-11-13	Environmental swab	Trash cans	Negative	30.619237	114.256935	None	Negative
F47	Env_0347	01/01/2020	West	2	9-11-13		West|2|9-11-13	West|2|9-11-13	Environmental swab	Roller shutter	Negative	30.619236	114.256921	None	Negative
F48	Env_0348	01/01/2020	West	2	9-11-13		West|2|9-11-13	West|2|9-11-13	Environmental swab	Ground	Negative	30.619236	114.256921	None	Negative
F49	Env_0349	01/01/2020	West	2	9-11-13		West|2|9-11-13	West|2|9-11-13	Environmental swab	Roller shutter	Negative	30.619236	114.256921	None	Negative
F50	Env_0350	01/01/2020	West	2	9-11-13		West|2|9-11-13	West|2|9-11-13	Environmental swab	Ground	Negative	30.619236	114.256921	None	Negative
F51	Env_0351	01/01/2020	West	2	9-11-13		West|2|9-11-13	West|2|9-11-13	Environmental swab	Roller shutter	Negative	30.619236	114.256921	None	Negative
F52	Env_0352	01/01/2020	West	2	9-11-13		West|2|9-11-13	West|2|9-11-13	Environmental swab	Ground	Negative	30.619236	114.256921	None	Negative
E1	Env_0215	01/01/2020	West	2			West|2|NA	West|2|NA	Environmental swab	Door surface	Negative			None	Negative
F87	Env_0387	01/01/2020	West	2	X2-X4		West|2|X2-X4	West|2|X2-X4	Environmental swab	Roller shutter	Negative	30.61934	114.25712	None	Negative
F88	Env_0388	01/01/2020	West	2	X2-X4		West|2|X2-X4	West|2|X2-X4	Environmental swab	Ground	Negative	30.61934	114.25712	None	Negative
F89	Env_0389	01/01/2020	West	2	X2-X4		West|2|X2-X4	West|2|X2-X4	Environmental swab	Roller shutter	Negative	30.61934	114.25712	None	Negative
F90	Env_0390	01/01/2020	West	2	X2-X4		West|2|X2-X4	West|2|X2-X4	Environmental swab	Ground	Negative	30.61934	114.25712	None	Negative
