Lab code	Stall_corrected	Sequencing_Run	adapter1	adapter1_percent	adapter2	adapter2_percent	adapter3	adapter3_percent	adapter4	adapter4_percent	adapter5	adapter5_percent
EWS-3#-2	East|NA|NA	SRR23971556	Ad153_5T_1-index_1	31.80712%	Ad153Ω_Bottom_2	1.13829%	Ad153_5T_1-index_4	0.84383%	Ad153_5T_1-index_20	0.69834%	Barcode_SE_sequencing_primer	0.53800%
629-1-L1	West|6|29	SRR23971443	Ad153_5T_1-index_11	0.33846%	Ad153Ω_Bottom_2	0.27674%	Barcode_SE_sequencing_primer	0.24635%	Ad153_5T_1-index_14	0.03936%	Ad153_5T_1-index_13	0.02833%
HJ200056-20200112-1	West|8|37	SRR23971417	Ad153_5T_1-index_1	12.16790%	Barcode_SE_sequencing_primer	0.11462%	Ad153_5T_1-index_4	0.06736%	Ad153_5T_1-index_29	0.04988%	Ad153Ω_Bottom_2	0.01635%
629-3-C	West|6|29	SRR23971444	Ad153Ω_Bottom_2	0.19202%	Barcode_SE_sequencing_primer	0.17268%	Ad153_5T_1-index_12	0.04383%	Ad153_5T_1-index_14	0.02803%	Ad153_5T_1-index_13	0.02726%
A90	West|4|26	SRR23971570	Ad153_5T_1-index_4	2.35109%	Ad153Ω_Bottom_2	2.20736%	Barcode_SE_sequencing_primer	2.27626%	Ad153_5T_1-index_11	0.17943%	Ad153_5T_1-index_8	0.17135%
HJ200057-20200112-1	West|8|37	SRR23971418	Ad153_5T_1-index_1	5.55591%	Ad153_5T_1-index_31	0.35965%	Ad153_5T_1-index_4	0.04955%	Barcode_SE_sequencing_primer	0.05581%	Ad153Ω_Bottom_2	0.01766%
HJ200006-20200112-1	West|9|34-36	SRR23971524	Ad153_5T_1-index_1	36.43482%	Ad153_5T_1-index_2	0.88889%	Ad153_5T_1-index_6	0.80748%	Barcode_SE_sequencing_primer	0.62619%	Ad153Ω_Bottom_2	0.01175%
W-8-25-L	West|8|25	SRR23971490	Ad153_5T_1-index_1	12.90453%	Ad153_5T_1-index_4	0.22928%	Ad153_5T_1-index_15	0.19183%	Barcode_SE_sequencing_primer	0.23672%	Ad153_5T_1-index_2	0.02383%
HJ200025-20200112-1	West|9|35-37	SRR23971463	Ad153_5T_1-index_1	43.09079%	Ad153_5T_1-index_11	2.52539%	Barcode_SE_sequencing_primer	2.97094%	Ad153_5T_1-index_2	1.27106%	Ad153Ω_Bottom_2	0.02614%
WS-2-1	West|NA|NA	SRR23971458	Ad153_5T_1-index_4	4.69146%	Ad153_5T_1-index_1	2.52232%	Ad153Ω_Bottom_2	1.95714%	Barcode_SE_sequencing_primer	0.37840%	Read_1_sequencing_primer	0.11906%
F13	West|11|15	SRR23971473	I5_Nextera_Transposase_1	0.09858%	I7_Nextera_Transposase_1	0.05926%	I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	0.02640%	I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	0.01823%	TruSeq_Universal_Adapter	0.00609%
Q70	West|6|29-31-33	SRR23971454	Ad153_5T_1-index_1	2.49604%	Ad153_5T_1-index_20	0.05764%	Barcode_SE_sequencing_primer	0.06388%	Ad153_5T_1-index_4	0.01495%	Ad153_5T_1-index_14	0.00717%
		SRR23971561	Ad153_5T_1-index_5	78.17202%	Barcode_SE_sequencing_primer	41.85774%	Ad153Ω_Bottom_2	42.41362%	Ad153_5T_1-index_1	8.98105%	Ad153_5T_1-index_3	1.14144%
A20	West|7|15-17	SRR23971507	Ad153_5T_1-index_5	1.00756%	Ad153Ω_Bottom_2	1.47461%	Barcode_SE_sequencing_primer	1.39324%	Ad153_5T_1-index_22	0.51839%	Ad153_5T_1-index_1	0.26143%
HJ200034-20200112-1	West|8|25	SRR23971472	Ad153_5T_1-index_1	71.55987%	Ad153_5T_1-index_2	4.92608%	Barcode_SE_sequencing_primer	1.96498%	Ad153Ω_Bottom_2	1.36848%	Ad153_5T_1-index_10	0.01135%
W-8-25-D2	West|8|25	SRR23971462	Ad153Ω_Bottom_2	0.24576%	Barcode_SE_sequencing_primer	0.21992%	Ad153_5T_1-index_39	0.08910%	Ad153_5T_1-index_1	0.04848%	Ad153_5T_1-index_34	0.02111%
A15	West|4|26	SRR23971504	Ad153_5T_1-index_8	81.23683%	Ad153Ω_Bottom_2	34.36660%	Barcode_SE_sequencing_primer	37.36549%	Ad153_5T_1-index_1	11.13624%	Barcode_PE_sequencing_primer	1.11945%
EWS-2#-2	East|NA|NA	SRR23971492	Ad153_5T_1-index_1	16.58347%	Ad153_5T_1-index_2	0.28090%	Barcode_SE_sequencing_primer	0.32302%	Ad153_5T_1-index_17	0.15899%	Ad153Ω_Bottom_2	0.13045%
WWS-2#-3	West|NA|NA	SRR23971497	Ad153_5T_1-index_1	32.25417%	Barcode_SE_sequencing_primer	0.65853%	Ad153_5T_1-index_26	0.31114%	Ad153_5T_1-index_3	0.26827%	Ad153_5T_1-index_2	0.10098%
F54	West|2|14	SRR23971416	I5_Nextera_Transposase_1	0.00276%	I7_Nextera_Transposase_1	0.00171%	I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	0.00063%	I7_Primer_Nextera_XT_and_Nextera_Enrichment_N712	0.00055%	I7_Primer_Nextera_XT_and_Nextera_Enrichment_N702	0.00050%
HJ200043-20200112-1	West|8|36-38	SRR23971481	Ad153_5T_1-index_1	59.76472%	Barcode_SE_sequencing_primer	1.81981%	Ad153_5T_1-index_22	1.21427%	Ad153_5T_1-index_4	1.19009%	Ad153Ω_Bottom_2	0.20587%
10-31-abv2	West|10|31	SRR23971429	Ad153_5T_1-index_7	36.91981%	Ad153_5T_1-index_6	32.49820%	Ad153Ω_Bottom_2	36.69657%	Barcode_SE_sequencing_primer	36.76547%	Ad153_5T_1-index_8	14.80539%
HJ200054-20200112-1	West|8|37	SRR23971414	Ad153_5T_1-index_1	1.76990%	Ad153_5T_1-index_20	0.04506%	Barcode_SE_sequencing_primer	0.04735%	Ad153_5T_1-index_4	0.01171%	Ad153_5T_1-index_14	0.00506%
HJ200001-20200112-1	West|9|34-36	SRR23971518	Ad153_5T_1-index_1	15.61592%	Barcode_SE_sequencing_primer	0.37531%	Ad153Ω_Bottom_2	0.06783%	Ad153_5T_1-index_33	0.00304%	Ad153_5T_1-index_11	0.00189%
HJ200008-20200112-1	West|9|34-36	SRR23971526	Ad153_5T_1-index_1	3.42174%	Ad153_5T_1-index_10	0.22690%	Barcode_SE_sequencing_primer	0.08852%	Ad153_5T_1-index_4	0.05340%	Ad153Ω_Bottom_2	0.00409%
HJ200021-20200112-1	West|9|35-37	SRR23971540	Ad153_5T_1-index_1	21.67706%	Ad153_5T_1-index_5	1.03129%	Barcode_SE_sequencing_primer	0.37457%	Ad153_5T_1-index_4	0.00365%	Ad153Ω_Bottom_2	0.00187%
C9_2	West|5|NA	SRR23971437	Ad153Ω_Bottom_2	0.30241%	Barcode_SE_sequencing_primer	0.27177%	Ad153_5T_1-index_5	0.11317%	Ad153_5T_1-index_3	0.09718%	Ad153_5T_1-index_1	0.03507%
1-27-52	West|15|22	SRR23971434	Ad153_5T_1-index_18	66.22230%	Ad153_5T_1-index_22	23.13094%	Ad153Ω_Bottom_2	45.39863%	Barcode_SE_sequencing_primer	41.75066%	Ad153_5T_1-index_1	6.40779%
HJ200030-20200112-1	West|9|35-37	SRR23971468	Ad153_5T_1-index_1	19.18027%	Ad153_5T_1-index_2	0.36613%	Barcode_SE_sequencing_primer	0.42918%	Ad153_5T_1-index_11	0.20764%	Ad153_5T_1-index_28	0.13555%
629-8-L7	West|6|29	SRR23971447	Ad153_5T_1-index_14	1.17884%	Ad153Ω_Bottom_2	0.75922%	Barcode_SE_sequencing_primer	0.70372%	Ad153_5T_1-index_1	0.05739%	Ad153_5T_1-index_13	0.02189%
HJ200020-20200112-1	West|9|38	SRR23971539	Ad153_5T_1-index_1	29.81991%	Ad153_5T_1-index_4	4.54248%	Barcode_SE_sequencing_primer	0.42552%	Ad153Ω_Bottom_2	0.01135%	Ad153_5T_1-index_29	0.00884%
w-6-29-33	West|6|29-33	SRR23971498	Ad153Ω_Bottom_2	0.31418%	Barcode_SE_sequencing_primer	0.29235%	Ad153_5T_1-index_44	0.17169%	Ad153_5T_1-index_1	0.02614%	Ad153_5T_1-index_22	0.00865%
HJ200018-20200112-1	West|9|38	SRR23971537	Ad153_5T_1-index_1	53.61427%	Ad153_5T_1-index_2	3.71299%	Barcode_SE_sequencing_primer	1.41287%	Ad153Ω_Bottom_2	0.47264%	Ad153_5T_1-index_10	0.00642%
SJ-L3	Warehouse|8|25	SRR23971516	Ad153Ω_Bottom_2	0.11876%	Barcode_SE_sequencing_primer	0.11235%	Ad153_5T_1-index_1	0.00814%	Ad153_5T_1-index_44	0.00355%	Ad153_5T_1-index_47	0.00348%
HJ200012-20200112-1	West|9|38	SRR23971530	Ad153_5T_1-index_1	28.17750%	Ad153_5T_1-index_26	0.70702%	Barcode_SE_sequencing_primer	0.62629%	Ad153_5T_1-index_3	0.31001%	Ad153Ω_Bottom_2	0.02357%
E48	East|9|22	SRR23971575	Ad153Ω_Bottom_2	1.54986%	Barcode_SE_sequencing_primer	1.55063%	Ad153_5T_1-index_1	0.59525%	Ad153_5T_1-index_11	0.27585%	Ad153_5T_1-index_8	0.26346%
A20	West|7|15-17	SRR23971533	Ad153Ω_Bottom_2	2.59925%	Barcode_SE_sequencing_primer	2.39381%	Ad153_5T_1-index_1	0.29871%	Ad153_5T_1-index_22	0.18242%	Ad153_5T_1-index_33	0.12802%
Q68	West|6|29-31-33	SRR23971451	Ad153_5T_1-index_1	21.84019%	Ad153Ω_Bottom_2	0.47134%	Ad153_5T_1-index_2	0.13901%	Barcode_SE_sequencing_primer	0.16742%	Ad153_5T_1-index_16	0.07941%
1-29-23	East|11|9	SRR23971543	Ad153_5T_1-index_7	60.77511%	Ad153_5T_1-index_12	29.75612%	Ad153Ω_Bottom_2	45.74756%	Barcode_SE_sequencing_primer	40.94852%	Ad153_5T_1-index_1	7.33364%
HJ200002-20200112-1	West|9|34-36	SRR23971519	Ad153_5T_1-index_1	2.24392%	Ad153_5T_1-index_2	0.13540%	Barcode_SE_sequencing_primer	0.06219%	Ad153Ω_Bottom_2	0.01320%	Ad153_5T_1-index_115	0.00015%
HJ200024-20200112-1	West|9|35-37	SRR23971589	Ad153_5T_1-index_1	21.13573%	Ad153_5T_1-index_10	1.24020%	Ad153_5T_1-index_4	0.33186%	Barcode_SE_sequencing_primer	0.47157%	Ad153Ω_Bottom_2	0.01829%
WS-4-2	East|NA|NA	SRR23971590	Ad153Ω_Bottom_2	0.20971%	Barcode_SE_sequencing_primer	0.17983%	Ad153_5T_1-index_1	0.07734%	Ad153_5T_1-index_36	0.04862%	Ad153_5T_1-index_34	0.01972%
		SRR23971566	Ad153_5T_1-index_22	60.90562%	Ad153Ω_Bottom_2	32.50870%	Barcode_SE_sequencing_primer	30.67849%	Ad153_5T_1-index_1	5.10592%	Ad153_Splint_oligo	0.27233%
A88	West|4|28	SRR23971569	Ad153Ω_Bottom_2	1.30760%	Barcode_SE_sequencing_primer	1.36276%	Ad153_5T_1-index_12	0.64750%	Ad153_5T_1-index_8	0.30780%	Ad153_5T_1-index_11	0.24422%
E-A-7-1	East|Accessory Street|7	SRR23971441	Ad153Ω_Bottom_2	0.46788%	Barcode_SE_sequencing_primer	0.43795%	Ad153_5T_1-index_9	0.14219%	Ad153_5T_1-index_14	0.04562%	Ad153_5T_1-index_13	0.02821%
A87	West|4|28	SRR23971567	Ad153_5T_1-index_11	31.93477%	Ad153Ω_Bottom_2	16.40455%	Barcode_SE_sequencing_primer	15.12370%	Ad153_5T_1-index_1	2.67654%	Ad153_5T_1-index_8	0.22290%
C17_2	West|6|34	SRR23971439	Ad153_5T_1-index_7	0.23713%	Ad153Ω_Bottom_2	0.17303%	Barcode_SE_sequencing_primer	0.14492%	Ad153_5T_1-index_1	0.11172%	Ad153_5T_1-index_6	0.00841%
8-25-M1	West|8|25	SRR23971456	Ad153_5T_1-index_43	31.11457%	Ad153_5T_1-index_33	27.53988%	Ad153Ω_Bottom_2	38.35867%	Barcode_SE_sequencing_primer	21.90747%	Ad153_5T_1-index_1	19.57637%
D32	West|15|15	SRR23971574	Ad153_5T_1-index_1	47.19201%	Ad153Ω_Bottom_2	18.28010%	Barcode_SE_sequencing_primer	18.19083%	Ad153_5T_1-index_22	0.40111%	Barcode_PE_sequencing_primer	0.21285%
1-27-33	West|6|29-33	SRR23971584	Ad153_5T_1-index_31	3.62288%	Ad153Ω_Bottom_2	1.92692%	Barcode_SE_sequencing_primer	1.76833%	Ad153_5T_1-index_1	0.18027%	Ad153_5T_1-index_25	0.00161%
8-25-CK	West|8|25	SRR23971551	Ad153_5T_1-index_29	52.39569%	Ad153_5T_1-index_40	42.39465%	Ad153Ω_Bottom_2	47.03201%	Barcode_SE_sequencing_primer	38.67514%	Ad153_5T_1-index_1	8.37469%
WWS-1#	West|NA|NA	SRR23971494	Ad153_5T_1-index_1	15.78384%	Barcode_SE_sequencing_primer	0.31915%	Ad153_5T_1-index_10	0.23040%	Ad153_5T_1-index_4	0.17502%	Ad153Ω_Bottom_2	0.11109%
HJ200031-20200112-1	West|8|25	SRR23971469	Ad153_5T_1-index_1	15.43051%	Ad153_5T_1-index_30	2.82763%	Barcode_SE_sequencing_primer	0.26581%	Ad153_5T_1-index_5	0.12814%	Ad153Ω_Bottom_2	0.02050%
F13	West|11|15	SRR23971591	I5_Nextera_Transposase_1	0.06966%	I7_Nextera_Transposase_1	0.03638%	I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	0.01837%	I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	0.00963%	TruSeq_Universal_Adapter	0.00377%
629-L-1	West|6|29	SRR23971500	Ad153_5T_1-index_17	0.48782%	Ad153Ω_Bottom_2	0.35316%	Barcode_SE_sequencing_primer	0.30905%	Ad153_5T_1-index_1	0.06227%	Ad153_5T_1-index_20	0.00913%
7-26-DH	West|7|26	SRR23971548	Ad153_5T_1-index_20	14.32625%	Ad153_5T_1-index_37	11.89725%	Ad153Ω_Bottom_2	17.90860%	Ad153_5T_1-index_1	9.79149%	Barcode_SE_sequencing_primer	11.26860%
629-13-L	West|6|29	SRR23971489	Ad153Ω_Bottom_2	0.28876%	Ad153_5T_1-index_16	0.18089%	Ad153_5T_1-index_1	0.18245%	Barcode_SE_sequencing_primer	0.26679%	Ad153_5T_1-index_20	0.00845%
F13	West|11|15	SRR23971580	Ad153_5T_1-index_22	83.24494%	Ad153Ω_Bottom_2	40.48582%	Barcode_SE_sequencing_primer	34.08334%	Ad153_5T_1-index_1	8.67049%	Ad153_5T_1-index_2	0.20175%
629-11-L	West|6|29	SRR23971452	Ad153Ω_Bottom_2	0.25253%	Barcode_SE_sequencing_primer	0.23086%	Ad153_5T_1-index_15	0.08655%	Ad153_5T_1-index_1	0.03137%	Ad153_5T_1-index_14	0.01716%
A101	West|4|19	SRR23971502	Ad153_5T_1-index_5	13.27657%	Ad153Ω_Bottom_2	7.09158%	Barcode_SE_sequencing_primer	7.28091%	Ad153_5T_1-index_1	1.88182%	Ad153_5T_1-index_3	0.59816%
B5	West|5|6-8	SRR23971573	Ad153_5T_1-index_32	2.22133%	Ad153Ω_Bottom_2	2.04865%	Barcode_SE_sequencing_primer	1.99591%	Ad153_5T_1-index_11	0.23336%	Ad153_5T_1-index_8	0.21883%
		SRR23971565	Ad153_5T_1-index_18	84.40134%	Ad153Ω_Bottom_2	44.85561%	Barcode_SE_sequencing_primer	41.85685%	Ad153_5T_1-index_1	10.91962%	Ad153_5T_1-index_11	0.65529%
8-25-Long	West|8|25	SRR23971558	Ad153_5T_1-index_4	0.22910%	Ad153Ω_Bottom_2	0.23657%	Barcode_SE_sequencing_primer	0.21909%	Ad153_5T_1-index_1	0.02703%	Ad153_5T_1-index_6	0.00844%
HJ200065-20200112-1	West|6|29-31-33	SRR23971424	Ad153_5T_1-index_1	32.74566%	Ad153_5T_1-index_7	0.48610%	Barcode_SE_sequencing_primer	0.29584%	Ad153_5T_1-index_3	0.16289%	Ad153Ω_Bottom_2	0.03376%
Q69	West|6|29-31-33	SRR23971453	Ad153_5T_1-index_1	9.17037%	Ad153_5T_1-index_17	0.25610%	Ad153_5T_1-index_2	0.15591%	Ad153Ω_Bottom_2	0.12046%	Barcode_SE_sequencing_primer	0.12098%
W-8-25-D2	West|8|25	SRR23971427	Ad153_5T_1-index_1	4.63478%	Ad153_5T_1-index_12	0.15421%	Ad153_5T_1-index_7	0.12686%	Ad153_5T_1-index_3	0.12436%	Ad153Ω_Bottom_2	0.08988%
w-6-29-33	West|6|29-33	SRR23971446	Ad153_5T_1-index_1	7.98797%	Ad153_5T_1-index_36	0.15529%	Barcode_SE_sequencing_primer	0.17183%	Ad153_5T_1-index_15	0.05379%	Ad153_5T_1-index_4	0.03280%
w-zong-1	West|1|NA	SRR23971499	Ad153_5T_1-index_1	2.12988%	Barcode_SE_sequencing_primer	0.04957%	Ad153_5T_1-index_30	0.02904%	Ad153_5T_1-index_37	0.01533%	Ad153_5T_1-index_3	0.01469%
8-25-BX	West|8|25	SRR23971549	Ad153_5T_1-index_38	49.10660%	Ad153_5T_1-index_25	44.40222%	Ad153Ω_Bottom_2	47.54684%	Barcode_SE_sequencing_primer	38.59035%	Ad153_5T_1-index_1	10.54054%
HJ200044-20200112-1	West|8|36-38	SRR23971482	Ad153_5T_1-index_1	11.91434%	Ad153_5T_1-index_26	0.32067%	Barcode_SE_sequencing_primer	0.25373%	Ad153_5T_1-index_3	0.13052%	Ad153Ω_Bottom_2	0.01674%
Q37	West|8|25	SRR23971448	Ad153_5T_1-index_1	17.12438%	Ad153_5T_1-index_5	0.72000%	Barcode_SE_sequencing_primer	0.29443%	Ad153_5T_1-index_4	0.00300%	Ad153Ω_Bottom_2	0.00197%
HJ200016-20200112-1	West|9|38	SRR23971535	Ad153_5T_1-index_1	18.10597%	Ad153_5T_1-index_32	0.90862%	Ad153_5T_1-index_3	0.82491%	Barcode_SE_sequencing_primer	0.86221%	Ad153_5T_1-index_13	0.26475%
HJ200022-20200112-1	West|9|35-37	SRR23971541	Ad153_5T_1-index_1	10.96099%	Ad153_5T_1-index_2	0.23177%	Ad153_5T_1-index_6	0.21393%	Barcode_SE_sequencing_primer	0.17470%	Ad153Ω_Bottom_2	0.00438%
HJ200003-20200112-1	West|9|34-36	SRR23971520	Ad153_5T_1-index_1	10.57125%	Ad153_5T_1-index_3	0.79208%	Barcode_SE_sequencing_primer	0.17861%	Ad153Ω_Bottom_2	0.04269%	Ad153_5T_1-index_31	0.00430%
HJ200009-20200112-1	West|9|34-36	SRR23971527	Ad153_5T_1-index_1	29.99550%	Ad153_5T_1-index_11	1.59894%	Barcode_SE_sequencing_primer	1.90844%	Ad153_5T_1-index_2	0.72989%	Ad153Ω_Bottom_2	0.02438%
W-8-25-L2	West|8|25	SRR23971491	Ad153Ω_Bottom_2	0.32759%	Barcode_SE_sequencing_primer	0.31484%	Ad153_5T_1-index_34	0.01807%	Ad153_5T_1-index_1	0.01807%	Ad153_5T_1-index_40	0.00764%
CCDC-744	West|6|29	SRR23971511	Ad153Ω_Bottom_2	0.45483%	Barcode_SE_sequencing_primer	0.42390%	Ad153_5T_1-index_1	0.03643%	Ad153_5T_1-index_17	0.00767%	Ad153_5T_1-index_20	0.00756%
1-29-4	East|4|5-7-9	SRR23971586	Ad153_Splint_oligo	4.29826%	Ad153_5T_1-index_70	4.81703%	Ad153_5T_1-index_1	2.32954%	Ad153_5T_1-index_4	0.90311%	Ad153Ω_Bottom_2	0.81784%
HJ200060-20200112-1	West|8|37	SRR23971421	Ad153_5T_1-index_1	2.86764%	Ad153_5T_1-index_35	0.05525%	Barcode_SE_sequencing_primer	0.04606%	Ad153_5T_1-index_2	0.01925%	Ad153_5T_1-index_17	0.01168%
HJ200050-20200112-1	West|8|36-38	SRR23971410	Ad153_5T_1-index_1	4.48586%	Ad153_5T_1-index_12	0.39057%	Ad153_5T_1-index_7	0.19314%	Barcode_SE_sequencing_primer	0.11355%	Ad153_5T_1-index_3	0.04125%
A61	West|7|20-22-24	SRR23971510	Ad153_5T_1-index_4	4.23517%	Ad153Ω_Bottom_2	3.11403%	Barcode_SE_sequencing_primer	3.04905%	Ad153_5T_1-index_22	0.54333%	Ad153_5T_1-index_1	0.49688%
WWS-1#-3	West|NA|NA	SRR23971496	Ad153_5T_1-index_1	9.72154%	Ad153_5T_1-index_18	0.23490%	Ad153_5T_1-index_2	0.19442%	Ad153_5T_1-index_33	0.17248%	Barcode_SE_sequencing_primer	0.17345%
WS-4-1	East|NA|NA	SRR23971554	Ad153_5T_1-index_8	21.90093%	Ad153_5T_1-index_1	10.90191%	Ad153Ω_Bottom_2	7.73245%	Barcode_SE_sequencing_primer	0.98827%	Ad153_5T_1-index_11	0.15056%
1-27-12	West|1|2	SRR23971432	Ad153_5T_1-index_4	62.57942%	Ad153_5T_1-index_5	26.07154%	Ad153Ω_Bottom_2	44.48032%	Barcode_SE_sequencing_primer	41.71526%	Ad153_5T_1-index_1	5.30020%
CCDC-454	West|9|34	SRR23971442	Ad153Ω_Bottom_2	0.39131%	Barcode_SE_sequencing_primer	0.36689%	Ad153_5T_1-index_14	0.06383%	Ad153_5T_1-index_13	0.03561%	Ad153_5T_1-index_10	0.03024%
WWS-1#-2	West|NA|NA	SRR23971495	Ad153Ω_Bottom_2	0.20163%	Barcode_SE_sequencing_primer	0.18944%	Ad153_5T_1-index_1	0.01154%	Ad153_5T_1-index_42	0.00616%	Ad153_5T_1-index_44	0.00572%
A2	West|7|15-17	SRR23971506	Ad153_5T_1-index_7	2.08728%	Ad153Ω_Bottom_2	2.30332%	Barcode_SE_sequencing_primer	2.23011%	Ad153_5T_1-index_22	0.29347%	Ad153_5T_1-index_1	0.25292%
7-26-PSN	West|7|26	SRR23971547	Ad153_5T_1-index_36	27.77111%	Ad153_5T_1-index_17	18.96982%	Ad153Ω_Bottom_2	25.18898%	Barcode_SE_sequencing_primer	20.40108%	Ad153_5T_1-index_1	5.25904%
